"","alpha1","beta1","r","r1","t_cll_subclones","t_M1_subclones","t_M2_subclones","r_tp1","lifetime_r","r1_tp1","lifetime_r1","t_M1_subclones_PE","t_M2_subclones_PE"
"2994",0.37,0.56,0.690802710921968,1.55011256710442,32.9811661181241,35.5062570281991,36.6699356452032,0.720482611854282,TRUE,1.55011256710442,FALSE,-2.42853248639977,-1.66281671975536
"2995",0.41,0.58,0.711999674089655,1.47504275127241,33.0533184012819,35.5553200937425,36.7060395373862,0.718679993484241,TRUE,1.47504275127241,FALSE,-2.29370680477472,-1.56599748622627
"2996",0.32,0.49,0.769983844279181,1.56305769734883,34.3044096165135,36.3899878442441,37.2899900969627,0.769983844279181,FALSE,1.56305769734883,FALSE,-3.34041107949604e-05,-2.65568177656938e-05
"2997",0.28,0.44,0.810392337802385,1.59183628449568,34.35039857433,36.3899857272773,37.2899867806644,0.810392337802385,FALSE,1.59183628449568,FALSE,-3.92215518821471e-05,-3.54500820391418e-05
"2998",0.35,0.43,0.943701700268844,1.31835509611911,34.5721192554816,36.3900061761,37.2900194269777,0.943701700268844,FALSE,1.31835509611911,FALSE,1.69719703638616e-05,5.20970171087974e-05
"2999",0.31,0.31,1.08963059144784,1.08963059144783,34.6413789484045,36.390000003721,37.2900144022912,1.08963059144784,FALSE,1.08963059144783,FALSE,1.02252352107753e-08,3.86223953936095e-05
"3000",0.37,0.37,1.08963059144784,1.08963059144783,34.6413789484045,36.390000003721,37.2900144022912,1.08963059144784,FALSE,1.08963059144783,FALSE,1.02252352107753e-08,3.8622395412664e-05
"3001",0.35,0.49,0.820117661257486,1.46348863213806,34.4199023509575,36.3899727318906,37.2899731548221,0.820117661257486,FALSE,1.46348863213806,FALSE,-7.49329743428866e-05,-7.19902866320545e-05
"3002",0.4,0.54,0.794404851744493,1.42308013861488,34.4130867591789,36.3899713160586,37.2899721358367,0.794404851744493,FALSE,1.42308013861488,FALSE,-7.88236915999751e-05,-7.47228837299097e-05
"3003",0.36,0.56,0.67330453651293,1.58055587175788,32.9639604138066,35.4949346479734,36.6604535830451,0.720915377915512,TRUE,1.58055587175788,FALSE,-2.45964647437932,-1.68824461505751
"3004",0.3,0.48,0.759351120927905,1.61185684616531,34.2616541053771,36.3899926236178,37.2899994380556,0.759351120927905,FALSE,1.61185684616531,FALSE,-2.02703551211473e-05,-1.5069572764047e-06
"3005",0.35,0.52,0.752756970350327,1.5295146548834,34.2973095024638,36.3899866429005,37.2899882646384,0.752756970350327,FALSE,1.5295146548834,FALSE,-3.67054123311527e-05,-3.14705324581204e-05
"3006",0.43,0.47,1.00878686446736,1.18846113146616,34.6244670890855,36.3900000033067,37.290015476863,1.00878686446736,FALSE,1.18846113146616,FALSE,9.08692192664939e-09,4.15040573644215e-05
"3007",0.35,0.4,1.00069424958835,1.23799880547508,34.6141283060038,36.3900000030465,37.2900162302884,1.00069424958835,FALSE,1.23799880547508,FALSE,8.37169300631708e-09,4.35245061743188e-05
"3008",0.38,0.45,0.956518147211587,1.27749318038553,34.5888336282935,36.3900020678696,37.2900180221717,0.956518147211587,FALSE,1.27749318038553,FALSE,5.68252144005488e-06,4.83297712949053e-05
"3009",0.34,0.4,0.983730391665249,1.27020717977869,34.6020707404082,36.3900000027702,37.2900171222622,0.983730391665249,FALSE,1.27020717977869,FALSE,7.61243347677514e-09,4.59164981427808e-05
"3010",0.4,0.6,0.63911380466098,1.54014737823469,33.0386996301725,35.5485662142193,36.6931298030988,0.719141854388785,TRUE,1.54014737823469,FALSE,-2.31226651767162,-1.60061731536938
"3011",0.31,0.64,0.366755517957667,1.89507045686398,32.880946886666,35.4464191137351,36.60874602624,0.722982523319128,TRUE,1.89507045686398,FALSE,-2.5929675357651,-1.82690794786799
"3012",0.26,0.51,0.631580819121662,1.83821847445099,32.7942186988651,35.3697687947838,36.5753001893867,0.724904990716954,TRUE,1.83821847445099,FALSE,-2.80360320202314,-1.9165991166889
"3013",0.4,0.41,1.07095601554074,1.11706682765935,34.6402965935587,36.3900000036934,37.2900144691409,1.07095601554074,FALSE,1.11706682765935,FALSE,1.01495142783961e-08,3.88016651734057e-05
"3014",0.32,0.42,0.912892041859288,1.39177916420743,34.5317493084576,36.3900155125374,37.2900231875667,0.912892041859288,FALSE,1.39177916420743,FALSE,4.26285720435463e-05,6.21817287782786e-05
"3015",0.32,0.55,0.630913685441402,1.69140534970645,32.8948560289775,35.4468979462163,36.6248225116963,0.722581347187741,TRUE,1.69140534970645,FALSE,-2.59165170042226,-1.78379589247435
"3016",0.3,0.39,0.936717949363333,1.38114644085615,34.5516132293766,36.3900116654402,37.2900215137945,0.936717949363333,FALSE,1.38114644085615,FALSE,3.20567194419404e-05,5.76932006104985e-05
"3017",0.21,0.48,0.624959331574948,2.00816233943057,32.7151681152275,35.3051803430057,36.5346427637611,0.726701713972323,TRUE,2.00816233943057,FALSE,-2.98109276448021,-2.02562948843888
"3018",0.34,0.51,0.758703431541392,1.54014737823468,34.299998277079,36.3899870090625,37.2899888066452,0.758703431541392,FALSE,1.54014737823468,FALSE,-3.56991961466133e-05,-3.00170415885487e-05
"3019",0.42,0.61,0.648651297651418,1.50430197576999,33.0760300832724,35.5734049094346,36.7110516193005,0.718210237140209,TRUE,1.50430197576999,FALSE,-2.2440095921005,-1.55255666586073
"3020",0.35,0.51,0.775667289464487,1.50793900393107,34.3425981457844,36.3899822379271,37.2899823769773,0.775667289464487,FALSE,1.50793900393107,FALSE,-4.8810312882284e-05,-4.72593797450096e-05
"3021",0.3,0.42,0.880683667555674,1.46348863213807,34.4817798740287,36.3900260399802,37.2900287156065,0.880683667555674,FALSE,1.46348863213807,FALSE,7.15580660855365e-05,7.70061852012875e-05
"3022",0.27,0.5,0.669145662869774,1.7742818574743,32.8100208547426,35.380559039619,36.584623580144,0.724531106351585,TRUE,1.7742818574743,FALSE,-2.77395152619126,-1.8915967279593
"3023",0.31,0.58,0.538034051099056,1.78569259818258,32.8792128888347,35.4392465242192,36.6133489074416,0.722982523319128,TRUE,1.78569259818258,FALSE,-2.61267786694365,-1.81456447454647
"3024",0.32,0.67,0.286297098437128,1.91069360988255,32.8991583185909,35.4624056897813,36.6148298855082,0.722581347187741,TRUE,1.91069360988255,FALSE,-2.54903630178271,-1.81059295921635
"3025",0.23,0.42,0.774783467773092,1.75871437184142,34.2232242613668,36.3899987130273,37.2899994234475,0.774783467773092,FALSE,1.75871437184142,FALSE,-3.53661097232196e-06,-1.54613165630332e-06
"3026",0.31,0.37,0.988550837885906,1.28622026718014,34.6011213658356,36.3900000027307,37.2900172513553,0.988550837885906,FALSE,1.28622026718014,FALSE,7.50398735546677e-09,4.6262685215115e-05
"3027",0.31,0.48,0.775338606985786,1.57542370969533,34.3061585913962,36.3899883140371,37.2899908576598,0.775338606985786,FALSE,1.57542370969533,FALSE,-3.21131160721538e-05,-2.45168684162385e-05
"3028",0.3,0.42,0.880683667555674,1.46348863213807,34.4817798740287,36.3900260399802,37.2900287156065,0.880683667555674,FALSE,1.46348863213807,FALSE,7.15580660855365e-05,7.70061852012875e-05
"3029",0.3,0.46,0.801284818686626,1.56456838569999,34.3493971949177,36.3899845344597,37.2899851706134,0.801284818686626,FALSE,1.56456838569999,FALSE,-4.24994236865502e-05,-3.97677301857254e-05
