"","alpha1","alpha2","alpha3","beta1","beta2","beta3","ccf_last1","ccf_last2","ccf_last3","r","r1","r2","r3","t_cll_subclones","t_M1_subclones","t_M2_subclones","t_M3_subclones","r_tp1","lifetime_r","r1_tp1","lifetime_r1","r2_tp1","lifetime_r2","r3_tp1","lifetime_r3","t_M1_subclones_PE","t_M2_subclones_PE","t_M3_subclones_PE"
"5142",0.59,0.15,0.02,0.5,0.19,0.08,0.01,0.75,0.27,0.33837330251825,-0.409759485097192,0.650550809331733,0.645168655056325,51.827775360002,52.6623673823447,52.4566623393493,56.5382330377773,0.435706606658549,TRUE,0.450703694980003,TRUE,0.650550809331733,FALSE,0.645168655056325,FALSE,-3.61938619629443,-5.48349128045167,-6.347137588575
"5143",0.61,0.12,0.06,0.37,0.19,0.05,0.02,0.76,0.18,0.272357660809685,-0.330591662225964,0.708882894096812,0.531740617088023,51.7827318534139,52.62294687167,52.4157656307979,56.538771765825,0.436397315443008,TRUE,0.451313805160596,TRUE,0.708882894096812,FALSE,0.531740617088023,FALSE,-3.69153207966693,-5.55717904360739,-6.34624521148751
"5144",0.62,0.12,0.02,0.4,0.19,0.14,0.02,0.73,0.23,0.279557999244279,-0.162411993334167,0.648587340682384,0.817472800007529,51.7829111032763,52.6200390066981,52.4136784258865,56.5101199637201,0.435706606658549,TRUE,0.451611398880797,TRUE,0.648587340682384,FALSE,0.817472800007529,FALSE,-3.69685394088933,-5.56093977317745,-6.3937055429517
"5145",0.55,0.14,0.04,0.55,0.19,0.08,0.01,0.78,0.23,0.124289406527641,-0.372448948488581,0.48690980203585,0.598970975609979,51.7922327286568,52.6371621343325,52.4287190964618,56.5955920808171,0.438925689134092,TRUE,0.449418843979394,TRUE,0.48690980203585,FALSE,0.598970975609979,FALSE,-3.66551585956718,-5.53383946583453,-6.25212509389251
"5146",0.62,0.09,0.03,0.4,0.19,0.14,0.01,0.78,0.27,0.242440970613201,-0.40004721547645,0.686178831076151,0.601565019046413,51.7085489230343,52.5471192259946,52.3403399520688,56.459213403749,0.437705129571525,TRUE,0.451611398880797,TRUE,0.686178831076151,FALSE,0.601565019046413,FALSE,-3.83030888361156,-5.69308116744359,-6.47802980992387
"5147",0.59,0.12,0.05,0.45,0.17,0.07,0.01,0.79,0.23,0.240364958330165,-0.394214680992829,0.768051337168472,0.611556994035487,51.7989017102736,52.6402181759507,52.4327771130977,56.5564920413619,0.437705129571525,TRUE,0.450703694980003,TRUE,0.768051337168472,FALSE,0.611556994035487,FALSE,-3.65992281121759,-5.5265277241482,-6.31689242775901
"5148",0.66,0.12,0.03,0.48,0.18,0.05,0.01,0.82,0.26,0.222197866022825,-0.41774053176395,0.611501797115873,0.720056212259834,51.7785811222957,52.6147777628848,52.408609754505,56.5103517862622,0.432649247861639,TRUE,0.452755622105199,TRUE,0.611501797115873,FALSE,0.720056212259834,FALSE,-3.70648286441281,-5.57007251440537,-6.39332154006585
"5149",0.57,0.12,0.07,0.44,0.21,0.06,0.01,0.78,0.25,0.266241140521405,-0.395392917106265,0.675566570528305,0.635949399338771,51.7822253599129,52.6217429209481,52.4147575791443,56.5312834532536,0.438925689134092,TRUE,0.450072542416475,TRUE,0.675566570528305,FALSE,0.635949399338771,FALSE,-3.69373550338924,-5.55899535289319,-6.35864924092502
"5150",0.64,0.13,0.07,0.46,0.21,0.08,0.01,0.78,0.28,0.296962077071167,-0.404641786866463,0.666749452405522,0.538718628449148,51.8004428733937,52.6392940974462,52.4324333988532,56.5537036985566,0.433462786708104,TRUE,0.452192451192557,TRUE,0.666749452405522,FALSE,0.538718628449148,FALSE,-3.66161402370747,-5.5271470290933,-6.3215111834411
"5151",0.55,0.1,0.03,0.46,0.19,0.04,0.01,0.78,0.25,0.229625240903829,-0.406342491415785,0.661771818263517,0.596134361426524,51.7263084062351,52.5656741061202,52.3587148423912,56.4778969825096,0.441146788273994,TRUE,0.449418843979394,TRUE,0.661771818263517,FALSE,0.596134361426524,FALSE,-3.79635046464097,-5.65997325695273,-6.44708136075932
"5152",0.67,0.14,0.06,0.48,0.19,0.06,0.01,0.8,0.29,0.199776851864042,-0.412518938902474,0.663716824774206,0.405923745958663,51.6942443772097,52.5391340631906,52.3308020238743,56.4793990953694,0.429966168172915,TRUE,0.453030839480099,TRUE,0.663716824774206,FALSE,0.408870276702593,TRUE,-3.84492301758676,-5.71026662364984,-6.44459318308865
