r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,tau1_hat,tau2_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1,alpha2,beta1,beta2,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.025385,0.033636,0.038369,0.888054,147.061333,184.509877,231.081029,176.584966,138.000000,172.000000,157.000000,187.000000,3116.000000,0.144132,0.053162,0.163201,0.066171,16478.000000,28517.000000,21976.000000,4654.000000,1887.000000,13227.000000,2375.000000,876.000000
0.026333,0.038824,0.050025,1.164887,97.859697,135.389746,180.890956,168.237610,141.000000,174.000000,144.000000,181.000000,3452.000000,0.059725,0.240551,0.065942,0.332279,18786.000000,36987.000000,22258.000000,2439.000000,12290.000000,13145.000000,1122.000000,4519.000000
0.025830,0.036353,0.043259,0.961181,161.842347,175.597293,221.920384,202.559085,162.000000,188.000000,182.000000,191.000000,2895.000000,0.138490,0.277500,0.148872,0.342486,23027.000000,44320.000000,22543.000000,6598.000000,15179.000000,13448.000000,3189.000000,6390.000000
0.024629,0.034194,0.042001,0.856827,148.153763,187.435413,236.006440,169.202607,140.000000,165.000000,152.000000,181.000000,3026.000000,0.158968,0.060663,0.181805,0.081102,20111.000000,34845.000000,25684.000000,6335.000000,2826.000000,15694.000000,3197.000000,1220.000000
0.022936,0.006503,0.046505,0.901491,177.889351,195.914339,551.085389,158.018061,141.000000,174.000000,299.000000,196.000000,3527.000000,0.001743,0.075221,0.001201,0.115351,20659.000000,34148.000000,30168.000000,41.000000,3939.000000,19069.000000,36.000000,1554.000000
0.026614,0.036335,0.046683,1.113757,119.727721,126.726312,160.177874,176.561209,133.000000,155.000000,164.000000,165.000000,3463.000000,0.018906,0.213128,0.020700,0.287013,17825.000000,33671.000000,23310.000000,697.000000,9664.000000,13689.000000,337.000000,3799.000000
0.025425,0.030788,0.041562,0.931277,212.345036,196.067553,125.053409,186.760652,140.000000,182.000000,228.000000,205.000000,3280.000000,0.002216,0.110797,0.002366,0.146770,21210.000000,36765.000000,31282.000000,87.000000,5396.000000,18813.000000,47.000000,2350.000000
0.025388,0.029105,0.045463,1.108363,122.630227,146.721251,229.841892,147.765402,157.000000,186.000000,174.000000,187.000000,3868.000000,0.086741,0.089222,0.088920,0.126862,9269.000000,16183.000000,12691.000000,1439.000000,2053.000000,7638.000000,804.000000,827.000000
0.022752,0.035057,0.043778,1.027456,136.932086,160.133814,200.328107,170.230628,143.000000,173.000000,170.000000,188.000000,3507.000000,0.132734,0.203951,0.148445,0.271558,8453.000000,15238.000000,8838.000000,2262.000000,4138.000000,5607.000000,1122.000000,1724.000000
0.024933,0.038646,0.044650,0.926179,156.594233,180.587836,182.225277,184.885493,153.000000,178.000000,169.000000,188.000000,3148.000000,0.043877,0.147547,0.053192,0.201691,26073.000000,46586.000000,34712.000000,2478.000000,9396.000000,21082.000000,1144.000000,3847.000000
0.024105,0.041236,0.039099,1.044138,140.478579,170.758127,165.704783,180.046430,143.000000,181.000000,172.000000,205.000000,3933.000000,0.037352,0.045925,0.051017,0.060102,24845.000000,41496.000000,36885.000000,2117.000000,2494.000000,22776.000000,928.000000,1141.000000
0.023977,0.037546,0.042102,0.816504,217.088006,227.318706,165.305598,173.269583,158.000000,191.000000,199.000000,205.000000,3095.000000,0.019314,0.057358,0.024572,0.079934,25681.000000,42773.000000,38303.000000,1051.000000,3419.000000,23712.000000,496.000000,1473.000000
0.024885,0.035890,0.045158,1.036635,103.330565,140.883089,247.913933,161.529865,135.000000,157.000000,136.000000,169.000000,3461.000000,0.264578,0.053248,0.302004,0.073159,27644.000000,49645.000000,31020.000000,14993.000000,3632.000000,18858.000000,7314.000000,1472.000000
0.024780,0.033758,0.042720,1.086623,129.586148,128.438207,212.806163,185.541039,141.000000,150.000000,173.000000,165.000000,3772.000000,0.064009,0.134476,0.071545,0.179816,20591.000000,36187.000000,27091.000000,2589.000000,6507.000000,16504.000000,1318.000000,2769.000000
0.025233,0.034657,0.044151,0.949802,282.789840,195.290427,66.438562,217.613953,171.000000,206.000000,296.000000,207.000000,2755.000000,0.000297,0.441363,0.000298,0.535595,33716.000000,67187.000000,31182.000000,20.000000,35985.000000,18825.000000,10.000000,14881.000000
0.023577,0.034190,0.045544,0.871129,207.226588,217.961613,210.686553,190.864431,151.000000,206.000000,206.000000,209.000000,2911.000000,0.052607,0.233247,0.057003,0.317165,25548.000000,46717.000000,29237.000000,2663.000000,14817.000000,18245.000000,1344.000000,5959.000000
0.024843,0.034130,0.047619,1.020359,128.488169,139.727682,219.810100,170.091461,142.000000,162.000000,161.000000,164.000000,3577.000000,0.052233,0.094924,0.059032,0.140501,34691.000000,60747.000000,48626.000000,3586.000000,8535.000000,29586.000000,1812.000000,3293.000000
0.020042,0.033023,0.045295,0.903703,134.595482,180.422465,255.613015,205.909925,147.000000,181.000000,149.000000,183.000000,2268.000000,0.252961,0.613188,0.221903,0.687529,18319.000000,40423.000000,3661.000000,8970.000000,27792.000000,2452.000000,4634.000000,11233.000000
0.024105,0.026950,0.041022,0.901519,125.952204,204.125880,242.334695,138.301118,129.000000,151.000000,147.000000,206.000000,3337.000000,0.177124,0.075136,0.180175,0.101272,3873.000000,6527.000000,4690.000000,1176.000000,661.000000,2896.000000,686.000000,291.000000
0.025551,0.034953,0.042104,1.096822,113.619061,163.152865,244.963322,180.251793,151.000000,200.000000,156.000000,205.000000,3804.000000,0.132388,0.050044,0.152601,0.066555,39505.000000,68951.000000,53840.000000,10522.000000,4589.000000,32298.000000,5230.000000,1977.000000
